Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C8",0805,4,0.1u,
C3,0805,1,22u,
"C5, C6",0805,2,1u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D9",D_SOD-123,84,1N4148W,
"D85, D86, D87",0805,3,LED,
"J1, J2, J6",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
J4,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Counter_Clockwise,
P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Plug_USB2.0,
Q1,SOP65P640X120-8N,1,FS8205A,
R1,0805,1,100,
"R10, R11, R12, R13, R14, R15, R6, R8, R9",0805,9,10k,
"R2, R3, R4, R7",0805,4,1K,
R5,0805,1,R,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW84, SW9",SW_Cherry_MX_PCB,84,SW_Push_45deg,
"SW85, SW86, SW87, SW89",SW_PUSH_6mm,4,SW_Push,
SW88,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,20,TestPoint,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U3,SOT-23-6,1,DW01A,
U4,SOT-23W_Handsoldering,1,MCP1700x-330xxTT,
