Designator,Mid X,Mid Y,Rotation,Layer
C1,147.05,-57.0015,270.0,top
C2,137.95,-60.139,90.0,top
C3,191.05,-50.6125,270.0,top
C4,188.05,-50.6125,270.0,top
C5,193.0125,-55.1125,0.0,top
C6,164.0,-46.9375,90.0,top
C8,187.9,-57.925,90.0,top
D1,72.7125,-87.6,90.0,bottom
D10,244.1625,-87.6,90.0,bottom
D11,263.2125,-87.6,90.0,bottom
D12,282.2625,-87.6,90.0,bottom
D13,301.3125,-87.6,90.0,bottom
D14,320.3625,-87.6,90.0,bottom
D15,339.4125,-87.6,90.0,bottom
D16,358.4625,-87.6,90.0,bottom
D17,72.7125,-106.65,90.0,bottom
D18,91.7625,-106.65,90.0,bottom
D19,110.8125,-106.65,90.0,bottom
D2,91.7625,-87.6,90.0,bottom
D20,129.8625,-106.65,90.0,bottom
D21,148.9125,-106.65,90.0,bottom
D22,167.9625,-106.65,90.0,bottom
D23,187.0125,-106.65,90.0,bottom
D24,206.0625,-106.65,90.0,bottom
D25,225.1125,-106.65,90.0,bottom
D26,244.1625,-106.65,90.0,bottom
D27,263.2125,-106.65,90.0,bottom
D28,282.2625,-106.65,90.0,bottom
D29,301.3125,-106.65,90.0,bottom
D3,110.8125,-87.6,90.0,bottom
D30,329.8875,-106.65,90.0,bottom
D31,358.4625,-106.65,90.0,bottom
D32,77.475,-125.7,90.0,bottom
D33,101.2875,-125.7,90.0,bottom
D34,120.3375,-125.7,90.0,bottom
D35,139.3875,-125.7,90.0,bottom
D36,158.4375,-125.7,90.0,bottom
D37,177.4875,-125.7,90.0,bottom
D38,196.5375,-125.7,90.0,bottom
D39,215.5875,-125.7,90.0,bottom
D4,129.8625,-87.6,90.0,bottom
D40,234.6375,-125.7,90.0,bottom
D41,253.6875,-125.7,90.0,bottom
D42,272.7375,-125.7,90.0,bottom
D43,291.7875,-125.7,90.0,bottom
D44,310.8375,-125.7,90.0,bottom
D45,334.65,-125.7,90.0,bottom
D46,358.4625,-125.7,90.0,bottom
D47,79.85625,-144.75,90.0,bottom
D48,106.05,-144.75,90.0,bottom
D49,125.1,-144.75,90.0,bottom
D5,148.9125,-87.6,90.0,bottom
D50,144.15,-144.75,90.0,bottom
D51,163.2,-144.75,90.0,bottom
D52,182.25,-144.75,90.0,bottom
D53,201.3,-144.75,90.0,bottom
D54,220.35,-144.75,90.0,bottom
D55,239.4,-144.75,90.0,bottom
D56,258.45,-144.75,90.0,bottom
D57,277.5,-144.75,90.0,bottom
D58,296.55,-144.75,90.0,bottom
D59,327.50625,-144.75,90.0,bottom
D6,167.9625,-87.6,90.0,bottom
D60,358.4625,-144.75,90.0,bottom
D61,84.61875,-163.8,90.0,bottom
D62,115.575,-163.8,90.0,bottom
D63,134.625,-163.8,90.0,bottom
D64,153.675,-163.8,90.0,bottom
D65,172.725,-163.8,90.0,bottom
D66,191.775,-163.8,90.0,bottom
D67,210.825,-163.8,90.0,bottom
D68,229.875,-163.8,90.0,bottom
D69,248.925,-163.8,90.0,bottom
D7,187.0125,-87.6,90.0,bottom
D70,267.975,-163.8,90.0,bottom
D71,287.025,-163.8,90.0,bottom
D72,313.21875,-163.8,90.0,bottom
D73,339.4125,-163.8,90.0,bottom
D74,358.4625,-163.8,90.0,bottom
D75,75.09375,-182.85,90.0,bottom
D76,98.90625,-182.85,90.0,bottom
D77,122.71875,-182.85,90.0,bottom
D78,194.15625,-182.85,90.0,bottom
D79,263.2125,-182.85,90.0,bottom
D8,206.0625,-87.6,90.0,bottom
D80,282.2625,-182.85,90.0,bottom
D81,301.3125,-182.85,90.0,bottom
D82,320.3625,-182.85,90.0,bottom
D83,339.4125,-182.85,90.0,bottom
D84,358.4625,-182.85,90.0,bottom
D85,147.126,-67.151,0.0,top
D86,147.126,-70.901,0.0,top
D87,181.225,-46.4,180.0,top
D9,225.1125,-87.6,90.0,bottom
J1,171.3,-58.9675,0.0,top
J2,165.4125,-68.77,180.0,top
J3,163.5,-59.95,0.0,top
J4,226.13,-60.71,180.0,top
J6,181.3925,-51.25,90.0,top
P1,171.03,-47.5375,180.0,top
Q1,151.5,-65.889,90.0,top
R1,149.7625,-53.2515,0.0,top
